province,commandery,county,city
Bing 并州,Dingxiang 定襄,Luo 駱,
Bing 并州,Dingxiang 定襄,Shanwu 善無,
Bing 并州,Dingxiang 定襄,Tongguo 桐過,
Bing 并州,Dingxiang 定襄,Wucheng 武成,
Bing 并州,Dingxiang 定襄,Zhongling 中陵,
Bing 并州,Leping 樂平,,
Bing 并州,Shang 上,Baitu 白土,
Bing 并州,Shang 上,Diaoyin 雕陰,
Bing 并州,Shang 上,Dingyang 定陽,
Bing 并州,Shang 上,Fushi 膚施,Qiaomen 橋門 (town)
Bing 并州,Shang 上,Gaonu 高奴,
Bing 并州,Shang 上,Houguan 候官,
Bing 并州,Shang 上,Qiuci 龜茲,
Bing 并州,Shang 上,Qiyuan 漆垣,
Bing 并州,Shang 上,Sheyan 奢延,
Bing 并州,Shang 上,Zhenlin 楨林,
Bing 并州,Shangdang 上黨,Changzi 長子,
Bing 并州,Shangdang 上黨,Gaodou 高都,Tiankai 天開 (pass)
Bing 并州,Shangdang 上黨,Guyuan 穀遠,
Bing 并州,Shangdang 上黨,Huguan 壺關,Hukou 壺口 (pass)
Bing 并州,Shangdang 上黨,Liting 黎亭,
Bing 并州,Shangdang 上黨,Lu 潞,
Bing 并州,Shangdang 上黨,Nie 涅,
Bing 并州,Shangdang 上黨,Tongdi 銅鞮,
Bing 并州,Shangdang 上黨,Tonliu 屯留,Yuwu 余吾 (town)
Bing 并州,Shangdang 上黨,Xiangyuan 襄垣,
Bing 并州,Shangdang 上黨,Xuanshi 泫氏,Changpingting 長平亭 (town)
Bing 并州,Shangdang 上黨,Yang'a 陽阿,
Bing 并州,Shangdang 上黨,Yishi 陭氏,
Bing 并州,Shangdang 上黨,Zhan 沾,Eyuju 阏与聚 (town)
Bing 并州,Shangdang 上黨,Zhangzi 長子,
Bing 并州,Shuofang 朔方,Dacheng 大城,
Bing 并州,Shuofang 朔方,Guangmu 廣牧,
Bing 并州,Shuofang 朔方,Linrong 臨戎,
Bing 并州,Shuofang 朔方,Sanfeng 三封,
Bing 并州,Shuofang 朔方,Shuofang 朔方,
Bing 并州,Shuofang 朔方,Woye 沃野,
Bing 并州,Taiyuan 太原,Daling 大陵,
Bing 并州,Taiyuan 太原,Jiexiu 界休,Mianshangju 绵上聚 (town)
Bing 并州,Taiyuan 太原,Jinyang 晉陽,Fenyang 汾陽 (town)
Bing 并州,Taiyuan 太原,Jinyang 晉陽,Gengyangcheng 梗陽城
Bing 并州,Taiyuan 太原,Jingling 京陵,
Bing 并州,Taiyuan 太原,Langmeng 狼孟,
Bing 并州,Taiyuan 太原,Lüsi 慮虒,
Bing 并州,Taiyuan 太原,Pingtao 平陶,
Bing 并州,Taiyuan 太原,Qi 祁,
Bing 并州,Taiyuan 太原,Wu 鄔,
Bing 并州,Taiyuan 太原,Yangqu 陽曲,
Bing 并州,Taiyuan 太原,Yangyi 陽邑,Yangyi 陽邑 (city)
Bing 并州,Taiyuan 太原,Yangyi 陽邑,Jicheng 箕城 (town)
Bing 并州,Taiyuan 太原,Yu 盂,
Bing 并州,Taiyuan 太原,Yuci 榆次,
Bing 并州,Taiyuan 太原,Yuli 於離,
Bing 并州,Taiyuan 太原,Zhongdu 中都,
Bing 并州,Taiyuan 太原,Zishi 茲氏,
Bing 并州,Wuyuan 五原,Chengyi 成宜,
Bing 并州,Wuyuan 五原,Heyin 河陰,
Bing 并州,Wuyuan 五原,Jiuyuan 九原,Mu'er 木耳 (village)
Bing 并州,Wuyuan 五原,Linwo 臨沃,Chouyang 稠陽 (town)
Bing 并州,Wuyuan 五原,Manbai 曼柏,
Bing 并州,Wuyuan 五原,Wenguo 文國,
Bing 并州,Wuyuan 五原,Wuyuan 五原,
Bing 并州,Wuyuan 五原,Wudu 武都,
Bing 并州,Wuyuan 五原,Xi'anyang 西安陽,
Bing 并州,Wuyuan 五原,Yiliang 宜梁,
Bing 并州,Wuyuan 五原,Yunzhong 雲中,
Bing 并州,Xihe 西河,Gaolang 皋狼,
Bing 并州,Xihe 西河,Guangyan 廣衍,
Bing 并州,Xihe 西河,Huanyang 圜陽,
Bing 并州,Xihe 西河,Huanyin 圜陰,
Bing 并州,Xihe 西河,Lejie 樂街,
Bing 并州,Xihe 西河,Lin 藺,
Bing 并州,Xihe 西河,Lishi 離石,
Bing 并州,Xihe 西河,Meiji 美稷,
Bing 并州,Xihe 西河,Pingding 平定,
Bing 并州,Xihe 西河,Pinglu 平陸,
Bing 并州,Xihe 西河,Pingzhou 平周,
Bing 并州,Xihe 西河,Yilan 益蘭,
Bing 并州,Xihe 西河,Zhongyang 中陽,
Bing 并州,Xinxing 新興,,
Bing 并州,Yanmen 雁門,Fanzhi 繁峙,
Bing 并州,Yanmen 雁門,Guangwu 廣武,
Bing 并州,Yanmen 雁門,Guo 崞,
Bing 并州,Yanmen 雁門,Jiangyin 彊陰,
Bing 并州,Yanmen 雁門,Juyang 劇陽,
Bing 并州,Yanmen 雁門,Lie 埒,
Bing 并州,Yanmen 雁門,Loufan 樓煩,
Bing 并州,Yanmen 雁門,Lucheng 鹵城,Suiren 葰人 (town)
Bing 并州,Yanmen 雁門,Mayi 馬邑,Mayi 馬邑 (city)
Bing 并州,Yanmen 雁門,Pingcheng 平城,Baideng 白登 (town)
Bing 并州,Yanmen 雁門,Wangtao 汪陶,
Bing 并州,Yanmen 雁門,Wuzhou 武州,
Bing 并州,Yanmen 雁門,Yinguan 陰館,
Bing 并州,Yanmen 雁門,Yuanping 原平,
Bing 并州,Yunzhong 雲中,Beiyu 北輿,
Bing 并州,Yunzhong 雲中,Chengle 成樂,
Bing 并州,Yunzhong 雲中,Dingxiang 定襄,
Bing 并州,Yunzhong 雲中,Jiling 箕陵,
Bing 并州,Yunzhong 雲中,Shaling 沙陵,
Bing 并州,Yunzhong 雲中,Sha'nan 沙南,
Bing 并州,Yunzhong 雲中,Wujin 武進,
Bing 并州,Yunzhong 雲中,Wuquan 武泉,
Bing 并州,Yunzhong 雲中,Xianyang 咸陽,
Bing 并州,Yunzhong 雲中,Yuanyang 原陽,
Bing 并州,Yunzhong 雲中,Yunzhong 雲中,
Guang 廣州,Cangwu 蒼梧,Guangxin 廣信,
Guang 廣州,Gaoliang 鬱林,Sipin 思平,
Guang 廣州,Gaoxing 高興,Guanghua 廣化,
Guang 廣州,Guilin 桂林,Wu'an 武安,
Guang 廣州,Nanhai 南海,Panyu 番禺,
Guang 廣州,Northern Hepu 合浦北部尉,Anguan 安廣,
Guang 廣州,Yulin 鬱林,Bushan 布山,
Jiao 交州,Cangwu 蒼梧,,
Jiao 交州,Hepu 合浦,Hepu 合浦,
Jiao 交州,Jiaozhi 交趾,Longbian 龍編,
Jiao 交州,Jiuzhen 九眞,Xupu 胥浦,
Jiao 交州,Nanhai 南海,,
